Compounded Years, Inflation
1, 0.036289156626505996
2, 0.03635316205334828
3, 0.03651773651133184
4, 0.03673793706069986
5, 0.036930888927288665
6, 0.03722441598962111
7, 0.03754178032705131
8, 0.037866800369837035
9, 0.03816614315917724
10, 0.03832013042961885
11, 0.038434402293706135
12, 0.03856505092566976
13, 0.03869921427377362
14, 0.03878237883551471
15, 0.03877446688925292
16, 0.03875311449505072
17, 0.03878656912295616
18, 0.03884445434536936
19, 0.03887904287112654
20, 0.0389410418262283
21, 0.039034306171475686
22, 0.03915580464890316
23, 0.03930884459012816
24, 0.03948013222172134
25, 0.039653817511764756
26, 0.039834302293382515
27, 0.040025574684521954
28, 0.04021718064036798
29, 0.04041597415481195
30, 0.04062578479733349
31, 0.04084919327474005
32, 0.041096741961169345
33, 0.04135726833894101
34, 0.04161835352190552
35, 0.041888201939317776
36, 0.04214219452564124
37, 0.04235180849951776
38, 0.04250010341002095
39, 0.04260833246477228
40, 0.0427027260178872
41, 0.04277347279475159
42, 0.0427989073425529
43, 0.04277122078767654
44, 0.042698120914601706
45, 0.04260137311498231
46, 0.042490822526350225
47, 0.04233997724479712
48, 0.042127283665420553
49, 0.04186982772489816
50, 0.04159641547733805
51, 0.04133172143589498
52, 0.041067164395907504
53, 0.04081533746248001
54, 0.04058774299778453
55, 0.040373778673514084
56, 0.04017067940657775
57, 0.03997434106021388
58, 0.039777724371996
59, 0.03959155554348211
60, 0.03941214128935958
